Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Lérouville;87175240;55200;0.0;8620;8620;7410;7410;7063;7063
Les Clairières de Verneuil;87386664;78480;0.0;539217;539217;488969;488969;459575;459575
Les Fontinettes;87317305;62100;0.0;32089;32089;28315;28315;28971;28971
Les Mais;87473587;22160;0.0;299;299;243;243;87;87
Lourdes;87671339;65100;0.2;611804;764755;537771;672214;453955;567444
Loures - Barbazan;87611178;65370;0.0;3130;3130;3288;3288;1807;1807
Lutzelbourg;87215160;57820;0.0;87345;87345;81681;81681;70226;70226
Maresquel-Ecquemicourt;87317206;62990;0.0;3326;3326;1814;1814;2151;2151
Mareuil-sur-Ourcq;87116665;60890;0.0;93075;93075;92246;92246;107604;107604
Martigues;87753509;13117;0.0;44299;44299;35992;35992;35042;35042
Maule;87381723;78580;0.0;341177;341177;309498;309498;252944;252944
Mennessis;87296434;2700;0.0;17608;17608;15122;15122;12627;12627
Méru;87313668;60110;0.1999999999999999;995863;1244829;953660;1192075;907138;1133922
Mont-Dauphin - Guillestre;87763508;5600;0.0;91712;91712;80105;80105;79124;79124
Monthermé;87172056;8800;0.1999999999999999;133163;166454;134853;168566;119476;149345
Montluel;87723569;1120;0.0;669928;669928;562874;562874;509152;509152
Montpellier Saint-Roch;87773002;34011;0.37;7534414;11959388;8061640;12796255;7646291;12136970
Montsûrs;87478537;53150;0.0;37245;37245;32715;32715;25367;25367
Mortcerf;87116244;77163;0.0;135675;135675;123021;123021;127841;127841
Nantes;87481002;44041;0.29;17553626;24723417;17082588;24059983;15512154;21848104
Oderen;87182634;68830;0.0;31108;31108;29665;29665;23064;23064
Orgon;87753707;13660;0.0;33803;33803;24903;24903;22401;22401
Pessac Alouette;87581793;33600;0.2;426337;532921;418538;523173;365411;456763
Provins;87116160;77160;0.0;976382;976382;885309;885309;564456;564456
Puteaux;87382382;92800;0.0;4143913;4143913;3853692;3853692;3900194;3900194
Rochefort;87485144;17300;0.1999999999999999;709451;886813;643312;804141;594889;743611
Saint-Cyprien Arènes;87446179;31300;0.2;289541;361926;306065;382581;262837;328547
Saint-Jean-Pied-de-Port;87673723;64220;0.0;84014;84014;74817;74817;56521;56521
Saint-Marcellin;87761718;38160;0.1999999999999999;601317;751646;564893;706117;569062;711328
Saint-Martin d'Étampes;87545350;91150;0.0;579433;579433;525434;525434;493755;493755
Saint-Ouen;87271247;93400;0.0;3662320;3662320;3321018;3321018;3120774;3120774
Sannois;87276188;95110;0.0;4178329;4178329;3788517;3788517;3857638;3857638
Saulon;87713628;21910;0.0;20484;20484;19378;19378;16714;16714
Saulxures;87214759;67420;0.0;303;303;158;158;1267;1267
Sérifontaine;87381269;60590;0.0;3285;3285;5949;5949;4966;4966
Sotteville-lès-Rouen;87411223;76300;0.0;14899;14899;14614;14614;10827;10827
Soulac-sur-Mer;87581371;33780;0.0;80377;80377;73908;73908;60670;60670
Strazeele;87286203;59270;0.0;65596;65596;57054;57054;55301;55301
Surgères;87485227;17700;0.2;546183;682729;500836;626045;443664;554580
Tanus;87615674;81190;0.0;3113;3113;3141;3141;2934;2934
Tarascon;87765354;13150;0.2;207789;259737;201197;251497;209311;261639
Tassin;87721514;69160;0.2;279457;349322;253775;317219;278685;348356
Thézy-Glimont;87316125;80110;0.0;19198;19198;15910;15910;14634;14634
Thomery;87682252;77300;0.0;257937;257937;233885;233885;167462;167462
Toul;87141044;54200;0.1999999999999999;435931;544913;390891;488613;323201;404001
Tricot;87313353;60420;0.0;64823;64823;61346;61346;54523;54523
Trilport;87116491;77470;0.0;1409964;1409964;1278641;1278641;990660;990660
Vauvert;87775817;30600;0.0;60049;60049;33256;33256;35887;35887
Vic-sur-Cère;87645440;15800;0.0;14971;14971;12267;12267;8812;8812
Vierzon Forges;87576090;18100;0.0;6457;6457;4886;4886;3307;3307
Villeneuve-sur-Yonne;87683219;89500;0.0;71644;71644;71504;71504;69430;69430
Villers sur Thère;87316422;60000;0.0;0;0;0;0;0;0
Vire;87448159;14500;0.0;100571;100571;103822;103822;92269;92269
Viviers-du-Lac;87741140;73420;0.0;15335;15335;12869;12869;13698;13698
Weyersheim;87213678;67720;0.2;190078;237598;189583;236979;176599;220749
Xertigny;87144121;88220;0.0;2618;2618;5185;5185;3304;3304
Aix-en-Provence;87751404;13100;0.06000000000000007;938858;998785;776483;826046;603811;642352
Albert;87313072;80300;0.1899999999999999;684803;845435;600665;741562;524871;647989
Amifontaine;87171744;2190;0.0;14700;14700;17239;17239;15468;15468
Aubigny-au-Bac;87345447;59265;0.0;17375;17375;27464;27464;28473;28473
Bagnac-sur-Célé;87613604;46270;0.0;5403;5403;3676;3676;2867;2867
Bègles;87581801;33130;0.0;63510;63510;51657;51657;38020;38020
Belle-Isle - Bégard;87473165;22810;0.0;3330;3330;3544;3544;2405;2405
Bitschwiller-lès-Thann;87182576;68620;0.0;43312;43312;37735;37735;34337;34337
Bolquère - Eyne;87784801;66210;0.0;4767;4767;4565;4565;4537;4537
Bouray;87545178;91850;0.0;1430936;1430936;1297583;1297583;1219351;1219351
Bourg-Saint-Maurice;87741793;73700;0.2;477862;597327;432419;540523;433350;541688
Boutigny-sur-Essonne;87681478;91820;0.0;207151;207151;153520;153520;144265;144265
Brélidy - Plouëc;87473827;22140;0.0;8996;8996;5931;5931;3917;3917
Bretigny - Norges;87712265;21490;0.0;14818;14818;13959;13959;16859;16859
Briançon;87763607;5100;0.2;220693;275866;192288;240360;173341;216677
Bruz;87471037;35170;0.1999999999999999;258664;323330;228627;285784;214043;267554
Calonne-Ricouart;87342543;62470;0.0;38184;38184;33978;33978;30702;30702
Carantilly - Marigny;87447144;50570;0.0;0;0;0;0;0;0
Cassis;87751776;13260;0.2;362399;452999;346076;432595;332671;415838
Cercy-la-Tour;87696492;58340;0.0;27813;27813;22145;22145;31960;31960
Cesson;87682161;77240;0.0;2205453;2205453;1834381;1834381;1723793;1723793
Châlons-en-Champagne;87174003;51000;0.1299999999999999;1077839;1238896;1007764;1158349;811432;932680
Château-l'Évêque;87595165;24460;0.0;9603;9603;5171;5171;2326;2326
Châteauneuf - Bujaleuf;87592105;87460;0.0;5581;5581;4556;4556;3841;3841
Chauffailles;87694778;71170;0.0;41791;41791;42732;42732;42962;42962
Clermont La Pardieu;87782607;63000;0.2;370718;463397;320167;400209;280491;350614
Colombier-Fontaine;87184556;25260;0.0;20653;20653;17670;17670;15399;15399
Dieulouard;87141812;54380;0.0;133395;133395;129235;129235;113680;113680
Amagne - Lucquy;87172262;8300;0.0;90151;90151;87838;87838;69618;69618
Amilly Ouerray;87394205;28300;0.0;31801;31801;26458;26458;27282;27282
Arvant;87734251;43360;0.0;59671;59671;55568;55568;84627;84627
Ebersviller;87191379;57320;0.0;38;38;49;49;111;111
Aulnay-sous-Bois;87271411;93600;0.0;31683770;31683770;28732540;28732540;22707800;22707800
Étampes;87545137;91150;0.0;3054293;3054293;2769659;2769659;2602664;2602664
Frynaudour;87473876;22860;0.0;1874;1874;1142;1142;735;735
Balagny Saint-Épin;87313569;60250;0.0;10843;10843;9835;9835;10349;10349
Gan;87672618;64290;0.0;8244;8244;7282;7282;5149;5149
Bengy-sur-Craon;87576447;18520;0.0;34797;34797;29517;29517;25974;25974
Bétaille;87594747;46110;0.0;172;172;39;39;36;36
Jacques Monod la Demi-Lieue;87413716;76290;0.0;5495;5495;7975;7975;7077;7077
Blangy-sur-Ternoise;87317248;62770;0.0;3008;3008;1941;1941;1373;1373
La Bouteille;87297085;2140;0.0;3706;3706;4135;4135;3410;3410
Bois-le-Roi;87682203;77590;0.0;1560861;1560861;1415269;1415269;966054;966054
Bouzonville;87193177;57320;0.0;22490;22490;22660;22660;18396;18396
La Guerche-sur-l'Aubois;87576470;18150;0.0;56221;56221;43456;43456;44444;44444
Breuil - Romain;87171322;51140;0.0;43925;43925;41472;41472;33261;33261
La Trinité Victor;87756767;6340;0.0;48133;48133;47568;47568;49685;49685
Champagné;87396275;72470;0.0;13965;13965;15911;15911;17740;17740
Labège Village;87612028;31670;0.0;6580;6580;8428;8428;8650;8650
Chaumont;87142000;52000;0.3;457290;653271;417780;596828;352144;503063
Lamure-sur-Azergues;87721860;69870;0.0;29406;29406;30622;30622;24648;24648
Landivisiau;87474270;29400;0.1999999999999999;253305;316631;225533;281917;205452;256816
Cordes - Vindrac;87613802;81170;0.0;13899;13899;16583;16583;13406;13406
Le Pont-de-Claix;87747519;38800;0.0;9187;9187;9141;9141;9227;9227
Ennevelin;87287276;59710;0.0;3683;3683;2219;2219;3183;3183
Lézignan-Corbières;87615112;11200;0.0;274266;274266;203009;203009;138459;138459
Feyzin;87722538;69320;0.0;154973;154973;117300;117300;113217;113217
Limersheim;87212274;67150;0.0;123589;123589;101604;101604;92018;92018
Gravigny Balizy;87393645;91160;0.0;555885;555885;430204;430204;404265;404265
Gros Noyer Saint-Prix;87276592;95120;0.0;1819054;1819054;1649369;1649369;1634111;1634111
Gudmont;87142265;52320;0.0;2;2;462;462;1469;1469
Ingrandes sur Vienne;87575134;86220;0.0;12393;12393;10058;10058;5761;5761
Jonzac;87491142;17500;0.0;177334;177334;148435;148435;127059;127059
Ker Lann;87159947;35170;0.0;95268;95268;88192;88192;85456;85456
Krimmeri Meinau;87338525;67100;0.2;210237;262796;198650;248313;169272;211590
La Baule Les Pins;87481697;44500;0.0;46150;46150;40000;40000;35086;35086
La Rochefoucauld;87583427;16110;0.0;0;0;0;0;2;2
La Suze-sur-Sarthe;87396366;72210;0.0;119106;119106;129267;129267;113281;113281
Lunas;87781575;34650;0.0;930;930;626;626;582;582
Langon;87582775;33210;0.1999999999999999;969603;1212004;924219;1155274;857442;1071803
Marlieux - Châtillon;87723767;1240;0.0;157523;157523;143948;143948;132752;132752
Martigny-les-Bains;87144295;88320;0.0;10489;10489;12552;12552;11538;11538
Vernouillet - Verneuil;87386656;78480;0.0;3100033;3100033;2811279;2811279;2641905;2641905
Mauves-sur-Loire;87481150;44470;0.0;39492;39492;40253;40253;32165;32165
Villeneuve-lès-Maguelone;87773515;34750;0.0;68140;68140;63080;63080;48978;48978
Mennecy;87681411;91540;0.0;932558;932558;848574;848574;797420;797420
Vonnas;87725820;1540;0.0;102046;102046;104874;104874;102171;102171
Mérignac Arlac;87278259;33000;0.0;126877;126877;96885;96885;88408;88408
Aiguebelle;87741256;73220;0.0;91094;91094;82209;82209;73947;73947
Ambérieu-en-Bugey;87743716;1500;0.13;1527121;1755311;1404224;1614050;1334530;1533942
Amiens;87313874;80017;0.2600000000000001;7395165;9993467;6675550;9021014;6004673;8114424
Andrézieux-Bouthéon;87726406;42160;0.0;32366;32366;29127;29127;28251;28251
Angers Maître École;87484048;49000;0.0;46045;46045;44330;44330;33549;33549
Anvin;87317255;62134;0.0;16399;16399;11319;11319;7494;7494
Argentan;87444539;61200;0.2;398579;498224;444175;555219;389139;486424
Argentière;87746859;74400;0.0;18836;18836;15021;15021;16320;16320
Aubusson;87597823;23200;0.0;2753;2753;1583;1583;806;806
Bandol;87755223;83150;0.05000000000000009;410481;432085;368416;387806;350366;368806
Beauvais;87313510;60000;0.16;2122526;2526817;1842796;2193805;1636319;1947999
Benfeld;87214122;67230;0.01000000000000006;664785;671500;629402;635759;557042;562669
Bischheim;87212308;67800;0.0;55191;55191;50471;50471;56883;56883
Bohain-en-Vermandois;87296269;2110;0.1999999999999999;149438;186797;139743;174678;142030;177537
Boisseaux;87543082;45480;0.0;9481;9481;9182;9182;8167;8167
Bourbourg;87281279;59630;0.0;27758;27758;22835;22835;20922;20922
Bournezeau;87486324;85480;0.0;2085;2085;1988;1988;2252;2252
Breuillet Village;87545491;91650;0.0;662949;662949;601167;601167;564922;564922
Byans-sur-Doubs;87718122;25320;0.0;6112;6112;5449;5449;8622;8622
Carcassonne;87615286;11000;0.24;1248583;1642873;1211281;1593791;1047813;1378702
Châtel - Nomexy;87144071;88330;0.1999999999999999;137486;171858;158207;197759;162461;203076
Chazay - Marcilly;87721415;69380;0.0;19195;19195;17570;17570;20138;20138
Chemilly - Appoigny;87683532;89250;0.0;4481;4481;2472;2472;1471;1471
Chenonceaux;87574491;37150;0.0;73714;73714;70593;70593;61257;61257
Civrieux-d'Azergues;87721746;69380;0.0;4531;4531;2570;2570;4821;4821
Clerval;87184622;25340;0.0;67943;67943;63660;63660;60473;60473
Clion sur Seugne;87491134;17240;0.0;0;0;0;0;0;0
Colmar Saint-Joseph;87181222;68000;0.0;83271;83271;77046;77046;59776;59776
Coussac-Bonneval;87592840;87500;0.0;0;0;0;0;251;251
Coutances;87447110;50200;0.39;222446;364667;211111;346084;185838;304653
Créteil Pompadour;87608802;94600;0.0;8339243;8339243;6823684;6823684;6412258;6412258
Croix L'Allumette;87281055;59170;0.0;2283;2283;2546;2546;1635;1635
Digne les Bains;87751495;4000;0.0;5497;5497;5288;5288;7026;7026
Donges Halte;87481721;44480;0.0;31937;31937;26802;26802;21576;21576
Ecully - Tassin;87721506;69130;0.1999999999999999;240929;301161;219253;274066;233074;291342
Eichhoffen;87214239;67140;0.0;12048;12048;10232;10232;11178;11178
Fépin;87172874;8170;0.0;6269;6269;5739;5739;4670;4670
Forbach;87193003;57600;0.1799999999999999;370116;451361;346914;423066;330425;402957
Fougeray - Langon;87471201;35390;0.0;30336;30336;26313;26313;21801;21801
Fréjus;87757500;83600;0.05000000000000007;187734;197615;187252;197107;179522;188971
Gournay - Ferrières;87381293;76220;0.0;3930;3930;8097;8097;8298;8298
Hachette;87297523;59530;0.0;525;525;184;184;26;26
Hennebont;87476259;56700;0.0;192338;192338;173915;173915;153087;153087
Herny;87193383;57580;0.0;7921;7921;9243;9243;8312;8312
Hesdigneul-lès-Boulogne;87317107;62196;0.0;34041;34041;24774;24774;28112;28112
Huriel;87641217;3380;0.0;198;198;506;506;34;34
Joncet;87784710;66193;0.0;77;77;82;82;101;101
Juziers;87381558;78820;0.0;397389;397389;360537;360537;361367;361367
La Fouillouse;87726232;42480;0.0;13031;13031;11785;11785;13394;13394
La Frette - Montigny;87381871;95530;0.0;1066029;1066029;966593;966593;957431;957431
La Meyze;87592808;87800;0.0;4460;4460;2651;2651;2493;2493
La Réole;87582866;33190;0.1999999999999999;315445;394307;293048;366310;268412;335515
La Ville-Dieu-du-Temple;87611459;82290;0.0;25479;25479;25528;25528;23006;23006
Lamothe-Montravel;87584151;24230;0.0;11700;11700;10450;10450;9465;9465
Laneuveville-devant-Nancy;87141093;54410;0.0;12618;12618;9257;9257;8149;8149
Le Chénay Gagny;87113522;93220;0.0;3260598;3260598;2956969;2956969;2779109;2779109
Aillevillers;87185629;70320;0.0;5488;5488;4553;4553;5628;5628
Angers Saint-Laud;87484006;49100;0.35;7116373;10948266;6781537;10433134;6269502;9645388
Annemasse;87745497;74100;0.1999999999999999;1785835;2232294;1577457;1971821;1367966;1709957
Arles;87753657;13200;0.12;889814;1011153;810100;920568;781295;887836
Athis-Mons;87545251;91200;0.0;1632971;1632971;1480790;1480790;1391516;1391516
Aubrives;87172122;8320;0.0;13492;13492;16205;16205;11188;11188
Auchy-lès-Hesdin;87317230;62770;0.0;18453;18453;19455;19455;15943;15943
Balsièges;87111864;48000;0.0;23;23;32;32;26;26
Blainville - Damelevières;87141135;54360;0.1999999999999999;321175;401469;313619;392024;275526;344407
Blanquefort;87581728;33290;0.2;150457;188072;133915;167393;154755;193444
Bollène La Croisière;87764357;84500;0.2;206581;258227;190823;238529;176950;221187
Boran-sur-Oise;87276444;60820;0.0;53476;53476;49424;49424;41848;41848
Boulazac;87725473;24750;0.0;45696;45696;32033;32033;17196;17196
Boulouris sur Mer;87757534;83700;0.0;38368;38368;35595;35595;33544;33544
Bouy;87174433;51400;0.0;0;0;0;0;0;0
Carbonne;87611061;31390;0.2;345633;432041;380474;475593;301802;377253
Chamonix Aiguille du Midi;87462085;74400;0.0;13280;13280;6823;6823;7921;7921
Champ de Courses d'Enghien;87276030;95230;0.0;2175046;2175046;1972164;1972164;1974639;1974639
Champigny sur Yonne;87683128;89340;0.0;90112;90112;102737;102737;98611;98611
Champlan;87725457;91160;0.0;65289;65289;0;0;0;0
Chessy;87721761;69380;0.0;27627;27627;27545;27545;22478;22478
Chèvremont;87184259;90340;0.0;0;0;0;0;0;0
Coat Guégan;87473579;22390;0.0;1436;1436;897;897;894;894
Cornil;87594481;19150;0.0;10361;10361;9924;9924;7553;7553
Corseul - Languenan;87478180;22130;0.0;2337;2337;1155;1155;1764;1764
Coulanges-sur-Yonne;87696831;89480;0.0;5303;5303;5098;5098;4474;4474
Danjoutin;87700146;90400;0.0;1458;1458;1232;1232;1742;1742
Dannemarie - Velesmes;87718312;25410;0.0;31325;31325;30720;30720;40026;40026
Dieppe;87415018;76200;0.3000000000000001;695838;994054;700985;1001407;638243;911776
Domont;87276436;95330;0.0;2763059;2763059;2505145;2505145;2515498;2515498
Druye;87571612;37190;0.0;23051;23051;22574;22574;20760;20760
Éloyes;87144436;88510;0.0;43609;43609;49610;49610;41095;41095
Entraigues-sur-la-Sorgue;87765826;84320;0.0;88316;88316;79989;79989;75136;75136
Épernon;87394114;28230;0.2;1574579;1968224;1578352;1972940;1548595;1935744
Fegersheim - Lipsheim;87212266;67640;0.0;152694;152694;142375;142375;125454;125454
Foëcy;87576108;18500;0.0;32331;32331;29631;29631;33780;33780
Fourchambault;87696229;58600;0.0;27591;27591;24836;24836;25260;25260
Franchet d'Esperey;87417444;51100;0.0;182961;182961;156995;156995;123709;123709
Frépillon;87276659;95740;0.0;415011;415011;376179;376179;363719;363719
Frévin-Capelle;87342212;62690;0.0;11509;11509;7637;7637;2396;2396
Froncles Buxières;87142240;52320;0.0;54688;54688;51324;51324;46809;46809
Goxwiller;87214270;67210;0.0;35806;35806;30767;30767;26170;26170
Grisolles;87611673;82170;0.0;121826;121826;136951;136951;121958;121958
Guéret;87597609;23000;0.0;88359;88359;78837;78837;71942;71942
Gujan-Mestras;87582619;33470;0.05000000000000004;486987;512618;456628;480661;438839;461936
Hautmont;87295568;59330;0.0;58624;58624;55845;55845;54912;54912
Ingwiller;87213785;67340;0.2;275577;344471;260436;325546;248572;310715
Javel;87393066;75015;0.0;3476498;3476498;3152513;3152513;2962430;2962430
La Bonneville-sur-Iton;87387142;27190;0.0;6880;6880;7969;7969;7219;7219
La Cave;87595215;24200;0.0;1;1;4;4;1;1
La Crèche;87485474;79260;0.0;37977;37977;31068;31068;24541;24541
La Jarrie;87485185;17220;0.0;39651;39651;28546;28546;27766;27766
La Ménitré;87487884;49250;0.0;165546;165546;165402;165402;145963;145963
La Valbonne;87723577;1360;0.0;230674;230674;214395;214395;211394;211394
Labergement-Sainte-Marie;87715219;25160;0.0;20192;20192;16351;16351;11097;11097
Laigneville;87276204;60290;0.1999999999999999;177645;222057;167618;209522;163350;204187
Lancey;87417501;38190;0.04;207301;215939;192506;200527;192991;201032
Langres;87142091;52200;0.0;98261;98261;86126;86126;74633;74633
Le Dramont;87757542;83530;0.0;26736;26736;23119;23119;18042;18042
Le Vieux Briollay;87484139;49125;0.0;29188;29188;25140;25140;18059;18059
Les Islettes;87175711;55120;0.0;0;0;0;0;0;0
Lozanne;87721423;69380;0.1999999999999999;413209;516511;376794;470993;344722;430903
Lubersac;87594671;19210;0.0;0;0;2;2;218;218
Le Thor;87765453;84250;0.0;54227;54227;47029;47029;42532;42532
Le Toec;87353573;31000;0.0;4484;4484;7134;7134;5100;5100
Le Vauriat;87641399;63230;0.0;128;128;353;353;94;94
L'Etang les Sablons;87726109;78620;0.0;163445;163445;148199;148199;70338;70338
Livron-sur-Drôme;87761247;26250;0.0;126743;126743;95840;95840;82275;82275
Longueau;87313049;80330;0.1999999999999999;488922;611153;455948;569935;430759;538449
Louhossoa;87673673;64250;0.0;0;0;0;0;0;0
Lyon Gorge de Loup;87721175;69009;0.2;743207;929009;674786;843483;682949;853686
Marmande;87586545;47200;0.2;651852;814815;603172;753966;541375;676719
Metz;87192039;57000;0.3100000000000001;9515104;13790006;9407728;13634389;8302189;12032158
Montaudran;87612010;31000;0.0;73196;73196;76524;76524;67312;67312
Mont-de-Marsan;87671016;40000;0.1999999999999999;485290;606613;481273;601592;440531;550664
Montigny - Beauchamp;87276089;95250;0.0;5186551;5186551;4702890;4702890;4595524;4595524
Mulhouse Musées;87534339;68100;0.0;0;0;0;0;0;0
Mullerhof;87214643;67280;0.0;12608;12608;11813;11813;7531;7531
Munster Badischhof;87386540;68140;0.0;23315;23315;18955;18955;11620;11620
Neussargues;87645507;15170;0.0;41074;41074;45537;45537;32038;32038
Nevers Le Banlay;87559070;58000;0.0;71640;71640;62260;62260;84156;84156
Nissan;87781179;34440;0.0;0;0;0;0;0;0
Noyen-sur-Sarthe;87396374;72430;0.0;39247;39247;40504;40504;31682;31682
Oissel;87411207;76350;0.04000000000000003;431176;449142;454996;473954;388748;404946
Paris Austerlitz;87547000;75013;0.1016949152542372;23798578;24830961;21657509;22602374;19515861;20309128
Pavilly;87411272;76570;0.2;201948;252435;212546;265682;171330;214162
Persan - Beaumont;87276469;95340;0.0;4212409;4212409;3824386;3824386;3807121;3807121
Petit-Croix;87184267;90130;0.0;28722;28722;25391;25391;25955;25955
Pierre-Buffière;87592253;87260;0.0;28335;28335;24338;24338;19554;19554
Planès;87784785;66210;0.0;1071;1071;935;935;705;705
Pleudihen-sur-Rance;87478149;22690;0.0;3809;3809;3442;3442;2341;2341
Pontcharra sur Bréda;87747493;38530;0.009999999999999953;794658;802685;724659;731979;696465;703500
Pont-de-Claix-L’Étoile;87752899;38800;0.0;0;0;0;0;0;0
Pontivy;87476556;56300;0.0;21535;21535;22401;22401;26397;26397
Prouvy - Thiant;87343418;59121;0.0;5781;5781;2380;2380;2278;2278
Reims;87171009;51100;0.06000000000000002;5003397;5322762;4970676;5287953;4309354;4584419
Ribeauvillé;87182279;68150;0.0;0;0;120;120;80;80
Roquebrune-Cap-Martin;87756460;6190;0.0;171806;171806;144334;144334;112595;112595
Russ Hersbach;87214684;67130;0.0;84356;84356;82758;82758;83263;83263
Saint-Chéron;87545509;91530;0.0;627010;627010;568577;568577;534294;534294
Saint-Clair - Les Roches;87722652;38370;0.2;753753;942192;671449;839311;623525;779407
Sainte-Léocadie;87784850;66800;0.0;277;277;263;263;347;347
Saint-Florentin - Vergigny;87683318;89600;0.0;102851;102851;98376;98376;93329;93329
Saint-Geours-de-Maremne;87673269;40230;0.0;19355;19355;14459;14459;8147;8147
Saint-Gratien;87276170;95210;0.0;2576869;2576869;2336723;2336723;2195928;2195928
Saint-Jean-d'Angély;87491357;17400;0.0;46265;46265;49530;49530;39126;39126
Saint-Lothain;87718197;39230;0.0;3579;3579;3502;3502;4028;4028
Saint-Maurice-de-Beynost;87723536;1700;0.2;246556;308195;232748;290935;208733;260916
Saint-Nom-la-Bretèche Forêt de Marly T13;87733071;78620;0.0;266741;266741;0;0;0;0
Saint-Raphaël Valescure;87757526;83700;0.2;1506561;1883202;1421923;1777404;1358265;1697831
Santes;87286401;59211;0.0;45926;45926;43712;43712;42691;42691
Trémolat;87584474;24510;0.0;7950;7950;5524;5524;4335;4335
Valdahon Camp Militaire;87718601;25800;0.0;9156;9156;12941;12941;9246;9246
Valleroy - Moineville;87192732;54910;0.0;7718;7718;8602;8602;5955;5955
Varetz;87594606;19240;0.0;5229;5229;2595;2595;1862;1862
Vaux-sous-Aubigny;87142620;52190;0.0;380;380;0;0;0;0
Véretz - Montlouis;87574434;37270;0.0;48152;48152;42836;42836;45202;45202
Vielmur-sur-Agout;87615492;81570;0.0;25524;25524;27672;27672;24947;24947
Villeneuve Triage;87681809;94190;0.0;1467225;1467225;1162466;1162466;1092378;1092378
Villeneuve-Loubet;87756304;6270;0.0;512236;512236;482053;482053;423218;423218
Villepinte;87271452;93420;0.0;2631037;2631037;2385680;2385680;2192462;2192462
Vitré;87471508;35500;0.13;1197732;1376703;1094295;1257810;976658;1122595
Voujeaucourt;87184531;25420;0.0;24041;24041;18462;18462;16809;16809
Vrigne-Meuse;87172221;8350;0.0;8096;8096;8000;8000;5471;5471
Wihr-au-Val - Soultzbach;87182378;68230;0.0;50783;50783;44552;44552;43562;43562
Wittelsheim;87182683;68310;0.0;0;0;0;0;0;0
Massy TGV;87393702;91300;0.3947368421052632;2099156;3468171;1968462;3252242;2589355;4278065
Mazingarbe;87342121;62670;0.0;1747;1747;1929;1929;1327;1327
Mesves - Bulcy;87696187;58400;0.0;2742;2742;3269;3269;3774;3774
Montbartier;87611699;82700;0.0;75034;75034;89890;89890;80459;80459
Montbré;87171256;51500;0.0;0;0;0;0;0;0
Montrichard;87574855;41400;0.0;116338;116338;109261;109261;107575;107575
Morlaix;87474338;29600;0.23;850223;1104186;820551;1065651;739465;960345
Mouchard;87718833;39330;0.05000000000000011;186902;196739;172224;181289;171941;180991
Nesle;87313486;80190;0.0;109199;109199;100044;100044;91953;91953
Neufchâteau;87141291;88300;0.0;93016;93016;83289;83289;70213;70213
Niolon;87753582;13740;0.0;105351;105351;74046;74046;65602;65602
Nogent-l'Artaud - Charly;87116566;2310;0.2;634014;792517;583297;729122;450012;562515
Orange;87765107;84100;0.1999999999999999;478558;598197;420120;525151;389111;486389
Pantin;87113209;93500;0.0;9627326;9627326;8731368;8731368;8207191;8207191
Paris Montparnasse;87391003;75015;0.2021276595744682;68925312;86321246;64471254;80757023;56862435;71219734
Perpignan;87784009;66000;0.2;2053794;2567242;2058369;2572961;1809687;2262109
Picquigny;87313106;80310;0.0;98884;98884;92474;92474;79125;79125
Pléchâtel;87471177;35470;0.0;46445;46445;45305;45305;41764;41764
Poissy;87386573;78300;0.0;13098813;13098813;11878444;11878444;11163637;11163637
Poitiers;87575001;86000;0.2900000000000001;3850352;5423031;3718607;5237475;3463640;4878367
Pont-de-l'Arche;87415661;27340;0.0;23336;23336;11470;11470;8398;8398
Pontmort;87734103;63200;0.0;25607;25607;21176;21176;17410;17410
Port-Brillet;87478750;53410;0.0;41514;41514;42895;42895;40510;40510
Port-de-Bouc;87753459;13110;0.0;49671;49671;43171;43171;38498;38498
Quesnoy-le-Montant;87317487;80132;0.0;0;0;0;0;0;0
Rassuen;87753426;13800;0.0;7795;7795;6240;6240;6380;6380
Régny;87721050;42630;0.0;45715;45715;48291;48291;47448;47448
Rémilly;87192237;57580;0.1999999999999999;287018;358773;280750;350938;252235;315294
Rocamadour - Padirac;87613042;46500;0.0;11396;11396;9155;9155;9208;9208
Route de Launaguet;87611954;31140;0.0;303;303;504;504;183;183
Rungis La Fraternelle;87546291;94150;0.0;748630;748630;678863;678863;637935;637935
Sains-du-Nord;87295709;59177;0.0;48790;48790;50051;50051;45970;45970
Saint-Agnan;87694851;71160;0.0;624;624;541;541;950;950
Saint-Aigulin - La Roche-Chalais;87584540;17360;0.0;38556;38556;33004;33004;26956;26956
Saint-Ay;87574129;45130;0.0;31621;31621;29124;29124;26166;26166
Sainte-Colombe;87715151;25300;0.0;17963;17963;11896;11896;26958;26958
Saint-Germain-les-Belles;87592287;87380;0.0;20092;20092;18459;18459;15148;15148
Saint-Lô;87447003;50000;0.33;299972;447719;302280;451164;265583;396393
Saint-Martin du Touch;87353599;31000;0.0;13507;13507;15819;15819;10826;10826
Saint-Martin-d'Oney;87671495;40090;0.0;52753;52753;77123;77123;71106;71106
Saint-Michel Notre-Dame;87547315;75005;0.0;26713257;26713257;24223770;24223770;22763184;22763184
Saint-Priest-Taurion;87592055;87480;0.0;18465;18465;20498;20498;21972;21972
Saint-Sever;87447714;14380;0.0;0;0;0;0;0;0
Saint-Vit;87718320;25410;0.2;193061;241327;179374;224217;176102;220128
