Nom de la gare;Code UIC;Code postal;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022
Luçay-le-Mâle;87576363;36360;0.0;21421;21421;21786;21786;30316;30316
Lyon Saint-Exupéry TGV;87762906;69125;0.2;2251500;2814375;1813737;2267171;1666530;2083163
Magalas;87781666;34480;0.0;10234;10234;14407;14407;9554;9554
Maisse;87681486;91720;0.0;158480;158480;146800;146800;137968;137968
Marsac;87597625;23210;0.0;8680;8680;7688;7688;5114;5114
Millas;87784546;66170;0.0;4326;4326;7980;7980;5503;5503
Montataire;87276618;60160;0.0;63783;63783;55887;55887;58123;58123
Montceau-les-Mines;87694620;71300;0.0;84173;84173;70967;70967;99863;99863
Mont-Dore;87641472;63240;0.0;0;0;2;2;8236;8236
Montlouis-sur-Loire;87571273;37270;0.0;134378;134378;93548;93548;36020;36020
Montpaon;87781534;12540;0.0;459;459;466;466;412;412
Montpon-Ménestérol;87595322;24700;0.2;204596;255746;180284;225355;170416;213020
Mont-sur-Meurthe;87141143;54360;0.0;16486;16486;14745;14745;11591;11591
Nanterre La Folie;87386011;92000;0.0;0;0;0;0;0;0
Nîmes Pont du Gard;87703975;30129;0.2;1168501;1460626;1054535;1318168;745834;932292
Noizay;87574368;37210;0.0;4278;4278;6269;6269;5685;5685
Noyal - Acigné;87471540;35530;0.0;332259;332259;285601;285601;246195;246195
Objat;87594630;19130;0.0;26688;26688;19923;19923;17133;17133
Oermingen;87215632;67970;0.0;38063;38063;33538;33538;36302;36302
Paris Est;87113001;75010;0.2078431372549021;42725621;53935809;39877017;50339798;36774394;46423121
Petit Jouy - Les Loges;87393504;78350;0.0;178195;178195;161582;161582;151872;151872
Peyrehorade;87672337;40300;0.0;47299;47299;39856;39856;28211;28211
Pierrelaye;87276097;95480;0.0;1421147;1421147;1288628;1288628;1263736;1263736
Pont de la Deûle;87345207;59128;0.0;27234;27234;25078;25078;24168;24168
Preignac;87582767;33210;0.0;6076;6076;6662;6662;6832;6832
Reignac-sur-Indre;87571455;37310;0.0;8922;8922;6908;6908;14273;14273
Retournac;87734749;43130;0.0;57476;57476;50459;50459;51748;51748
Rosny-sous-Bois;87113704;93110;0.0;6290410;6290410;5704642;5704642;5361506;5361506
Rully;87712026;71150;0.0;40268;40268;37407;37407;37542;37542
Saillat - Chassenon;87592717;87720;0.0;4716;4716;4588;4588;5272;5272
Saint-Cyr Les Lecques - La Cadière;87755215;83270;0.03000000000000003;423272;436363;388741;400764;366619;377958
Saint-Denis;87271015;93200;0.0;36960585;36960585;28530643;28530643;26902902;26902902
Sainte-Eulalie - Carbon-Blanc;87491282;33560;0.0;55417;55417;61960;61960;46371;46371
Sainte-Maure - Noyant;87575050;37800;0.3300000000000001;146892;219241;144500;215672;159393;237900
Saint-Fargeau-Ponthierry;87682542;77310;0.0;100087;100087;106177;106177;99778;99778
Saint-Florent-sur-Cher;87576272;18400;0.0;9733;9733;11154;11154;10766;10766
Saint-Genouph;87571851;37510;0.0;986;986;473;473;282;282
Saint-Leu-la-Forêt;87276600;95320;0.0;2504878;2504878;2271180;2271180;2272089;2272089
Saint-Macaire;87582825;33490;0.0;17006;17006;17365;17365;17836;17836
Saint-Nom-la-Bretèche Forêt de Marly;87382481;78620;0.0;2048759;2048759;1615796;1615796;1258313;1258313
Saint-Savinien;87491035;17350;0.0;29982;29982;20203;20203;19148;19148
Saint-Symphorien-de-Marmagne;87694174;71710;0.0;194;194;76;76;44;44
Saint-Vallier sur Rhône;87761130;26240;0.2;372697;465871;339426;424282;309631;387039
Sarreguemines;87193615;57200;0.1999999999999999;381439;476799;428391;535489;457024;571280
Sausset-les-Pins;87753558;13960;0.0;85428;85428;71131;71131;69814;69814
Savenay;87481838;44260;0.2;859138;1073923;787338;984172;677561;846952
Sedan;87172254;8200;0.1999999999999999;462646;578307;466520;583150;358878;448598
Sénas;87753715;13560;0.0;46862;46862;42438;42438;40150;40150
Séon Saint-Henri;87751636;13016;0.0;0;0;0;0;0;0
Serres;87763722;5700;0.0;13012;13012;11563;11563;11638;11638
Sillé-le-Guillaume;87396234;72140;0.0;115577;115577;105128;105128;91402;91402
Taillebourg;87491043;17350;0.0;0;0;0;0;0;0
Tournan-en-Brie;87116210;77220;0.0;2507603;2507603;2273937;2273937;2096889;2096889
Traou Nez;87322347;22860;0.0;481;481;86;86;111;111
Turckheim;87182352;68230;0.0;43974;43974;49445;49445;41049;41049
Ustaritz Jatxou;87673624;64480;0.0;7532;7532;7526;7526;5742;5742
Valenciennes;87343004;59300;0.2;3373297;4216621;3144191;3930239;2875726;3594657
Valognes;87447284;50700;0.1199999999999999;282866;321439;270670;307580;251892;286241
